d:cdsxmatch,i:fid,i:jd,i:magpsf,i:objectId,i:sigmapsf
Em*,1,2459713.9190278,18.44963,ZTF19aaxlfmq,0.15826015000000002
Unknown,2,2459711.8340394,17.384068,ZTF19aaxlfmq,0.09407472600000001
Em*,2,2459709.8771875,16.41433,ZTF19aaxlfmq,0.042991593
Em*,1,2459700.8554977,18.916882,ZTF19aaxlfmq,0.118330814
Em*,2,2459696.9459722,17.11786,ZTF19aaxlfmq,0.049668096
Em*,1,2459696.8974074,18.664112,ZTF19aaxlfmq,0.10785644500000001
Em*,2,2459684.915081,17.875727,ZTF19aaxlfmq,0.09463853
Em*,1,2459683.9400231,18.336283,ZTF19aaxlfmq,0.10892997
Em*,2,2459683.8970139,17.119028,ZTF19aaxlfmq,0.043291364000000006
Em*,1,2459677.9610301,18.716824,ZTF19aaxlfmq,0.14574067000000002
Em*,2,2459677.9175347,17.253958,ZTF19aaxlfmq,0.06741962
Em*,1,2459675.9609259,18.62427,ZTF19aaxlfmq,0.10784638
Em*,2,2459675.9175694,17.509892999999998,ZTF19aaxlfmq,0.07609198
Em*,1,2459670.9827083,19.413551,ZTF19aaxlfmq,0.13785549
Em*,1,2459425.7486343,17.98358,ZTF19aaxlfmq,0.08148804
Em*,2,2459425.676956,16.85725,ZTF19aaxlfmq,0.041812517
Em*,2,2459423.7311111,16.802555,ZTF19aaxlfmq,0.064313285
Em*,2,2459419.7309259,17.179161,ZTF19aaxlfmq,0.07730584
Em*,2,2459412.7105208,17.274035,ZTF19aaxlfmq,0.09101669999999999
Em*,1,2459410.686956,18.652891,ZTF19aaxlfmq,0.15387611
Em*,1,2459408.6863426,18.938835,ZTF19aaxlfmq,0.10856721600000001
Em*,1,2459392.771794,19.409334,ZTF19aaxlfmq,0.21151774
Em*,1,2459385.7929282,18.79621,ZTF19aaxlfmq,0.17764518
Em*,1,2459383.7515162,18.493147,ZTF19aaxlfmq,0.12772216
Em*,1,2459381.7922338,18.24221,ZTF19aaxlfmq,0.11586562
Em*,1,2459376.8353704,18.949324,ZTF19aaxlfmq,0.1359592
Em*,2,2459376.7931944,17.924158,ZTF19aaxlfmq,0.13462575000000002
Em*,1,2459370.8801968,18.982008,ZTF19aaxlfmq,0.13922809
Em*,2,2459370.834213,17.639297,ZTF19aaxlfmq,0.0986382
Em*,1,2459364.8583449,18.827827,ZTF19aaxlfmq,0.1832777
Em*,2,2459364.8353009,17.742853,ZTF19aaxlfmq,0.097780846
Em*,2,2459354.8976042,17.516619,ZTF19aaxlfmq,0.085786596
Em*,1,2459354.855,19.211056,ZTF19aaxlfmq,0.20991147000000002
Unknown,2,2459352.8988426,17.215387,ZTF19aaxlfmq,0.052704778
Em*,1,2459352.8182755,18.697935,ZTF19aaxlfmq,0.114215545
Em*,1,2459349.8567593,19.514310000000002,ZTF19aaxlfmq,0.14316672
Unknown,2,2459349.8136921,17.646183,ZTF19aaxlfmq,0.06485165
Em*,1,2459343.8772569,18.99685,ZTF19aaxlfmq,0.13022672
Em*,2,2459341.8980093,17.906397,ZTF19aaxlfmq,0.07420341
Em*,2,2459337.9403819,17.515732,ZTF19aaxlfmq,0.064384356
Em*,2,2459328.8981134,16.227743,ZTF19aaxlfmq,0.035045568
Em*,1,2459324.8765394,17.9225,ZTF19aaxlfmq,0.08127687
Em*,2,2459322.9605093,16.488716,ZTF19aaxlfmq,0.047361363000000004
Unknown,2,2459316.898912,17.286995,ZTF19aaxlfmq,0.09910231
Em*,2,2459309.9747454,16.581762,ZTF19aaxlfmq,0.038888782000000004
Em*,1,2459309.9402199,17.952377,ZTF19aaxlfmq,0.08691806
Em*,1,2459307.9815625,18.391779,ZTF19aaxlfmq,0.09827682400000001
Em*,2,2459307.9403588,16.827578,ZTF19aaxlfmq,0.05452865
Em*,2,2459300.9394213,17.12876,ZTF19aaxlfmq,0.09904718
Em*,2,2459039.7510301,18.413412,ZTF19aaxlfmq,0.11238447600000001
Em*,2,2459027.7520602,17.554327,ZTF19aaxlfmq,0.09602669600000001
Em*,1,2458996.8152431,18.660412,ZTF19aaxlfmq,0.111519426
Unknown,2,2458996.7927083,17.989285,ZTF19aaxlfmq,0.08216985
Unknown,2,2458993.7951389,18.029238,ZTF19aaxlfmq,0.1236379
Em*,1,2458987.8988426,18.731426,ZTF19aaxlfmq,0.10607969
Unknown,2,2459684.915081,16.995846,ZTF19abfamvm,0.078830905
RotV*,2,2459677.9175347,16.441212,ZTF19abfamvm,0.034786068
RotV*,1,2459675.9609259,18.044212,ZTF19abfamvm,0.11090577400000001
RotV*,2,2459675.9175694,16.212189,ZTF19abfamvm,0.05402746
RotV*,1,2459392.771794,18.83927,ZTF19abfamvm,0.15483199
RotV*,1,2459345.8765509,18.751314,ZTF19abfamvm,0.17053278
RotV*,1,2459341.8347338,18.626981999999998,ZTF19abfamvm,0.122124255
RotV*,1,2459339.8566898,18.788963,ZTF19abfamvm,0.16130507
RotV*,1,2459307.9815625,19.277838,ZTF19abfamvm,0.21211619999999998
RotV*,1,2459036.7114699,18.564022,ZTF19abfamvm,0.18469498
RotV*,1,2459024.7733102,17.588202,ZTF19abfamvm,0.08179834
RotV*,2,2459011.834838,16.738846,ZTF19abfamvm,0.056341168000000004
RotV*,1,2458996.8152431,18.031452,ZTF19abfamvm,0.06970071
RotV*,2,2458993.7951389,16.266525,ZTF19abfamvm,0.052139137
RotV*,1,2458987.8988426,18.09115,ZTF19abfamvm,0.07531835
RotV*,2,2458974.8340856,15.640572,ZTF19abfamvm,0.03220575
RotV*,2,2458971.8561227,16.071207,ZTF19abfamvm,0.051239233
RotV*,2,2458964.8980208,15.951538,ZTF19abfamvm,0.07283347
RotV*,1,2458964.8758565,18.059822,ZTF19abfamvm,0.07950443
Unknown,2,2459779.7300116,18.9426,ZTF19abfamvt,0.18586597
RotV*,2,2459777.7095023,18.459948,ZTF19abfamvt,0.12029914
RotV*,2,2459677.9175347,19.117586,ZTF19abfamvt,0.1590106
Unknown,2,2459309.9747454,19.02243,ZTF19abfamvt,0.20553204
RotV*,2,2458964.8980208,19.254107,ZTF19abfamvt,0.17499726000000002
Candidate_YSO,2,2459719.8566204,19.037481,ZTF20aawvver,0.19953533
Candidate_YSO,2,2459710.8564236,19.02527,ZTF20aawvver,0.12844762
Candidate_YSO,2,2459312.898588,18.808552,ZTF20aawvver,0.09784143000000001
Orion_V*,1,2459638.654537,14.383202,ZTF18acvpqjw,0.030818075
Fail,1,2459627.7207292,15.880649,ZTF18acvpqjw,0.041124623000000006
Orion_V*,1,2459624.6988426,14.947096,ZTF18acvpqjw,0.033763062
Orion_V*,1,2459622.7133796,15.166791,ZTF18acvpqjw,0.034061667000000004
Orion_V*,1,2459540.9008449,16.777285,ZTF18acvpqjw,0.07384179
Orion_V*,1,2459532.803669,14.94568,ZTF18acvpqjw,0.032289606000000005
Orion_V*,1,2459530.8220023,16.166613,ZTF18acvpqjw,0.05699921
Orion_V*,1,2459517.9538889,16.066582,ZTF18acvpqjw,0.08184338000000001
Orion_V*,1,2459496.8805787,16.538809,ZTF18acvpqjw,0.07896206
Orion_V*,1,2459301.7004398,15.579888,ZTF18acvpqjw,0.033790465
Orion_V*,1,2459296.6791204,15.550957,ZTF18acvpqjw,0.029825564000000002
Orion_V*,1,2459270.701412,15.693105,ZTF18acvpqjw,0.038862653000000004
Orion_V*,1,2459268.658044,14.926491,ZTF18acvpqjw,0.024009546000000003
Orion_V*,1,2459260.6705671,15.412427,ZTF18acvpqjw,0.03751522
Orion_V*,1,2459255.6777199,15.053311,ZTF18acvpqjw,0.035539325000000004
Orion_V*,1,2459253.6748611,14.761771,ZTF18acvpqjw,0.036543176000000004
Orion_V*,1,2459251.6416551,14.980244,ZTF18acvpqjw,0.036944497
Orion_V*,1,2459249.6526736,15.128649,ZTF18acvpqjw,0.036919296000000004
Orion_V*,1,2459229.6951505,16.464762,ZTF18acvpqjw,0.095733784
Orion_V*,1,2459227.7077315,14.894447,ZTF18acvpqjw,0.030894917
Orion_V*,1,2459223.6650694,15.235346,ZTF18acvpqjw,0.03309365
Orion_V*,1,2459198.8279861,14.552522,ZTF18acvpqjw,0.031568162000000004
Orion_V*,1,2459194.7165046,15.902272,ZTF18acvpqjw,0.03249073
Orion_V*,1,2459187.866794,17.259186,ZTF18acvpqjw,0.06731441
Orion_V*,1,2459175.8073727,16.17802,ZTF18acvpqjw,0.09820678000000001
Orion_V*,1,2459171.90625,15.171766,ZTF18acvpqjw,0.029731905000000003
Orion_V*,1,2459167.9010995,15.232748,ZTF18acvpqjw,0.018694272
Orion_V*,1,2459158.8225231,16.106903,ZTF18acvpqjw,0.0556568
Orion_V*,1,2459153.9348727,15.906203,ZTF18acvpqjw,0.049963895
Orion_V*,1,2459143.8813773,15.195209,ZTF18acvpqjw,0.041063286000000004
Orion_V*,1,2459120.8528819,16.639046,ZTF18acvpqjw,0.10617565
Orion_V*,1,2459118.9571296,15.235082,ZTF18acvpqjw,0.038298644
Orion_V*,1,2459064.9945023,14.673975,ZTF18acvpqjw,0.019211108
Orion_V*,1,2458917.6816204,16.722258,ZTF18acvpqjw,0.0722908
Orion_V*,1,2458903.6416435,15.248106,ZTF18acvpqjw,0.032728564
Orion_V*,1,2458903.6113079,15.336191,ZTF18acvpqjw,0.031432815
Orion_V*,1,2458899.6854861,14.768911,ZTF18acvpqjw,0.029198674
Orion_V*,1,2458885.7608565,15.017626,ZTF18acvpqjw,0.021601183000000003
Orion_V*,1,2458877.7034491,14.743432,ZTF18acvpqjw,0.023434028000000003
Fail,1,2458867.682581,15.678836,ZTF18acvpqjw,0.046595044
Fail,1,2458863.639375,16.157684,ZTF18acvpqjw,0.057422906
Orion_V*,1,2458836.7225463,15.42159,ZTF18acvpqjw,0.027816340000000002
Orion_V*,1,2458833.69375,16.139824,ZTF18acvpqjw,0.04125989
Orion_V*,1,2458831.7244213,15.186525,ZTF18acvpqjw,0.034782890000000004
Orion_V*,1,2458830.7122801,14.948716,ZTF18acvpqjw,0.026522133000000003
Orion_V*,1,2458814.7708102,16.304667,ZTF18acvpqjw,0.065501444
Orion_V*,1,2458804.033669,15.290303,ZTF18acvpqjw,0.035382524000000005
Orion_V*,1,2458797.7886574,15.164385,ZTF18acvpqjw,0.03781351
Orion_V*,1,2458797.7488426,15.068329,ZTF18acvpqjw,0.03292787
TTau*,1,2459825.9912616,17.88408,ZTF18aabfdpx,0.10533044
TTau*,2,2459825.9454745,15.847892,ZTF18aabfdpx,0.06645183
TTau*,1,2459823.9501042,17.308456,ZTF18aabfdpx,0.08547249
TTau*,2,2459816.9753241,15.672216,ZTF18aabfdpx,0.05230492
TTau*,1,2459816.9467245,17.465208,ZTF18aabfdpx,0.07446203400000001
TTau*,2,2459809.9823958,15.946151,ZTF18aabfdpx,0.09613342
TTau*,1,2459809.9204282,17.906546,ZTF18aabfdpx,0.10511963
TTau*,2,2459786.9737731,14.66887,ZTF18aabfdpx,0.037802424
TTau*,2,2459784.9829977,16.018133,ZTF18aabfdpx,0.04870621
TTau*,2,2459784.9805787,15.954711,ZTF18aabfdpx,0.04304166
TTau*,2,2459784.9781481,15.93108,ZTF18aabfdpx,0.05177163
TTau*,2,2459784.9757176,16.010601,ZTF18aabfdpx,0.05808547
TTau*,2,2459784.9732986,15.907689,ZTF18aabfdpx,0.0435308
TTau*,2,2459778.9897801,15.776736,ZTF18aabfdpx,0.05503251
TTau*,2,2459778.987419,15.674311,ZTF18aabfdpx,0.07225139400000001
TTau*,2,2459778.9850579,15.824428,ZTF18aabfdpx,0.074820094
TTau*,2,2459778.9827083,15.791002,ZTF18aabfdpx,0.06664897
TTau*,2,2459778.9803472,15.775099,ZTF18aabfdpx,0.057629023
TTau*,2,2459776.9902431,15.966697,ZTF18aabfdpx,0.038162783000000006
TTau*,2,2459776.9878125,15.897101,ZTF18aabfdpx,0.07028311
TTau*,2,2459776.9853704,15.887221,ZTF18aabfdpx,0.06478897
TTau*,2,2459776.9829398,15.889041,ZTF18aabfdpx,0.048010375
TTau*,2,2459775.9885764,15.304551,ZTF18aabfdpx,0.042456575
TTau*,2,2459775.9861343,15.333949,ZTF18aabfdpx,0.05712005
TTau*,2,2459775.9837037,15.370262,ZTF18aabfdpx,0.052853886
TTau*,2,2459775.9812616,15.349198,ZTF18aabfdpx,0.048328694000000005
TTau*,2,2459775.978831,15.389155,ZTF18aabfdpx,0.031219948
TTau*,2,2459774.9878356,15.942199,ZTF18aabfdpx,0.057121333
TTau*,2,2459774.9854051,15.949768,ZTF18aabfdpx,0.075398676
TTau*,2,2459774.9829745,16.047388,ZTF18aabfdpx,0.07581509
TTau*,2,2459774.980544,15.845274,ZTF18aabfdpx,0.057076387000000006
Orion_V*,2,2459671.6562616,16.775377,ZTF18aabfdpx,0.08604359
Orion_V*,1,2459640.6653472,17.717896,ZTF18aabfdpx,0.10273277
Orion_V*,1,2459629.6803356,17.907639,ZTF18aabfdpx,0.07193329999999999
Fail,1,2459627.7207292,18.674648,ZTF18aabfdpx,0.11558184
Orion_V*,2,2459624.826713,16.39541,ZTF18aabfdpx,0.03998589
Orion_V*,2,2459622.7803241,15.65575,ZTF18aabfdpx,0.04412526
Orion_V*,1,2459622.7133796,17.57979,ZTF18aabfdpx,0.06898565
Orion_V*,1,2459540.9008449,16.856285,ZTF18aabfdpx,0.045077838
Orion_V*,2,2459532.8830903,16.309816,ZTF18aabfdpx,0.077603355
Orion_V*,1,2459532.803669,18.20068,ZTF18aabfdpx,0.06981537
Orion_V*,2,2459530.8598958,16.436827,ZTF18aabfdpx,0.07265945
Orion_V*,1,2459530.8220023,17.884613,ZTF18aabfdpx,0.070570454
Orion_V*,2,2459527.854375,15.499517,ZTF18aabfdpx,0.057386610000000005
Orion_V*,1,2459527.8088079,17.24015,ZTF18aabfdpx,0.07021925600000001
Orion_V*,1,2459525.8325463,17.53203,ZTF18aabfdpx,0.05989161
Orion_V*,1,2459521.822037,17.124153,ZTF18aabfdpx,0.075622246
Orion_V*,1,2459517.9538889,17.245583,ZTF18aabfdpx,0.07034107
Orion_V*,1,2459504.9409722,17.367025,ZTF18aabfdpx,0.054998185000000005
Orion_V*,1,2459502.9402083,17.734407,ZTF18aabfdpx,0.073551714
Orion_V*,2,2459498.8865278,15.480495,ZTF18aabfdpx,0.039447024000000004
Orion_V*,2,2459496.9283565,16.478514,ZTF18aabfdpx,0.061325204
Orion_V*,1,2459496.8805787,17.91281,ZTF18aabfdpx,0.08905166
Orion_V*,1,2459487.9241435,17.686407,ZTF18aabfdpx,0.090298265
Orion_V*,2,2459487.8844097,15.9419,ZTF18aabfdpx,0.053029384000000006
Orion_V*,2,2459477.9075579,15.746792,ZTF18aabfdpx,0.07216241
Orion_V*,1,2459477.8637037,17.3273,ZTF18aabfdpx,0.054155923
Orion_V*,2,2459474.9721528,15.827226,ZTF18aabfdpx,0.013436585000000001
Orion_V*,1,2459474.9573264,17.827772,ZTF18aabfdpx,0.08464497
Orion_V*,1,2459471.9897801,17.36031,ZTF18aabfdpx,0.0744304
TTau*,2,2459467.9862384,15.925218,ZTF18aabfdpx,0.014769270000000001
Orion_V*,1,2459467.9738426,17.981632,ZTF18aabfdpx,0.07208906
Orion_V*,1,2459465.9506134,17.369081,ZTF18aabfdpx,0.067210086
TTau*,2,2459463.9712731,15.905733,ZTF18aabfdpx,0.04806619
Orion_V*,1,2459463.9540625,17.722609,ZTF18aabfdpx,0.10444884
Orion_V*,1,2459461.9500116,17.733372,ZTF18aabfdpx,0.08219758
Orion_V*,2,2459459.9834144,16.087837,ZTF18aabfdpx,0.0672099
Orion_V*,1,2459459.955706,17.983916999999998,ZTF18aabfdpx,0.08245372000000001
Orion_V*,1,2459453.9494329,17.481295,ZTF18aabfdpx,0.07078059
Orion_V*,1,2459449.9697801,16.983072,ZTF18aabfdpx,0.05390857
Orion_V*,2,2459449.9083333,15.143779,ZTF18aabfdpx,0.03212319
Orion_V*,1,2459444.9462731,17.0354,ZTF18aabfdpx,0.05955172
TTau*,2,2459439.9772917,16.306631,ZTF18aabfdpx,0.06436779000000001
Orion_V*,1,2459439.9452431,18.399258,ZTF18aabfdpx,0.095121205
TTau*,2,2459418.9835301,16.547655,ZTF18aabfdpx,0.12810284
Orion_V*,2,2459418.9810532,16.175556,ZTF18aabfdpx,0.060074143
