# Name,RA,DEC,Source
2MASS J05422175+0059149,05:42:21.76,+00:59:14.98,Capistrant+2022
2MASS J08510940-4145127,08:51:09.40,-41:45:12.70,Capistrant+2022
2MASS J05335710+1133231,05:33:57.11,+11:33:23.19,Capistrant+2022
2MASS J05434208+1002209,05:43:42.09,+10:02:20.97,Capistrant+2022 Capistrant+2022
2MASS J08581187-4321272,08:58:11.87,-43:21:27.30,Capistrant+2022
2MASS J08490737-4125298,08:49:07.38,-41:25:29.89,Capistrant+2022
2MASS J06163784-0856158,06:16:37.85,-08:56:15.83,Capistrant+2022
2MASS J05430849-0811323,05:43:08.49,-08:11:32.34,Capistrant+2022
2MASS J05255602-0154320,05:25:56.02,-01:54:32.01,Capistrant+2022
2MASS J06164160-0854178,06:16:41.60,-08:54:17.80,Capistrant+2022
2MASS J05305870-0040428,05:30:58.70,-00:40:42.85,Capistrant+2022
2MASS J05251452-0056265,05:25:14.52,-00:56:26.52,Capistrant+2022
2MASS J22381522+7507204,22:38:15.23,+75:07:20.41,Capistrant+2022
2MASS J08524631-4220063,08:52:46.31,-42:20:06.38,Capistrant+2022
2MASS J08493816-4130197,08:49:38.16,-41:30:19.79,Capistrant+2022
2MASS J05430677+0943492,05:43:06.78,+09:43:49.24,Capistrant+2022
EPIC 204514546,15:56:40.02,-22:01:40.0,Cody+2018 Capistrant+2022
EPIC 204281210,15:58:36.92,-22:57:15.3,Cody+2018 Rebull+2018
EPIC 204894208,16:00:29.45,-20:22:53.9,Cody+2018 Rebull+2018
EPIC 204248645,16:02:45.73,-23:04:51.3,Cody+2018 Rebull+2018
EPIC 204538777,16:03:26.25,-21:55:38.1,Cody+2018 Rebull+2018
EPIC 205037578,16:04:17.39,-19:42:28.9,Cody+2018 Rebull+2018
EPIC 205345560,16:06:23.81,-18:07:18.6,Cody+2018 Rebull+2018
EPIC 204856535,16:07:00.15,-20:33:09.2,Cody+2018 Rebull+2018
EPIC 203843009,16:07:55.65,-24:43:27.1,Cody+2018 Rebull+2018
EPIC 204428864,16:08:15.65,-22:22:20.3,Rebull+2018
EPIC 204449389,16:08:27.33,-22:17:29.6,Cody+2018 Rebull+2018
EPIC 204630363,16:10:05.02,-21:32:31.8,Rebull+2018
EPIC 205155253,16:11:46.12,-19:07:42.9,Rebull+2018
EPIC 204399980,16:13:11.58,-22:29:06.6,Cody+2018 Rebull+2018
EPIC 205051240,16:14:07.92,-19:38:29.1,Cody+2018 Rebull+2018
EPIC 204245509,16:14:11.07,-23:05:36.2,Cody+2018 Rebull+2018
EPIC 203664569,16:16:33.43,-25:21:50.8,Cody+2018 Rebull+2018
EPIC 203542463,16:18:08.68,-25:47:12.8,Cody+2018 Rebull+2018
EPIC 204347824,16:24:31.82,-22:41:20.7,Rebull+2018
EPIC 203933268,16:25:59.65,-24:21:22.3,Cody+2018 Rebull+2018
EPIC 203856244,16:26:41.22,-24:40:17.7,Cody+2018 Rebull+2018
EPIC 203919315,16:27:30.84,-24:24:56.0,Cody+2018 Rebull+2018
EPIC 203860592,16:27:39.42,-24:39:15.5,Cody+2018 Rebull+2018
EPIC 203785905,16:28:13.85,-24:56:11.3,Cody+2018 Rebull+2018
EPIC 203927902,16:28:32.67,-24:22:45.0,Cody+2018 Rebull+2018
EPIC 247827638,04:29:36.06,+24:35:55.6,Cody+22 Rebull+2018
EPIC 247805410,04:30:29.61,+24:26:45.0,Cody+22 Rebull+2018
EPIC 247078342,04:32:22.10,+18:27:42.6,Cody+22 Rebull+2018
EPIC 247589612,04:32:49.11,+22:53:02.8,Cody+22 Rebull+2020
EPIC 247763883,04:33:06.21,+24:09:33.9,Roggero+21 Rebull+2020
EPIC 247764745,04:33:06.62,+24:09:54.9,Cody+22 Rebull+2020
EPIC 247575958,04:33:09.45,+22:46:48.7,Roggero+21 Rebull+2020
EPIC 247791801,04:33:34.56,+24:21:05.8,Cody+22 Rebull+2020
EPIC 248047443,04:33:36.83,+26:09:49.3,Cody+22 Rebull+2020
EPIC 247592463,04:35:52.77,+22:54:23.1,Cody+22 Rebull+2020
EPIC 247103541,04:36:30.82,+18:42:15.3,Cody+22 Rebull+2020
EPIC 246989752,04:38:47.25,+17:37:26.0,Cody+22 Rebull+2020
EPIC 247520207,04:39:17.78,+22:21:03.2,Cody+22 Rebull+2020
EPIC 248030407,04:39:44.88,+26:01:52.7,Cody+22 Rebull+2020
EPIC 248006676,04:40:49.50,+25:51:18.9,Cody+22 Rebull+2020
EPIC 248015397,04:41:10.78,+25:55:11.6,Cody+22 Rebull+2020
EPIC 248018164,04:41:38.82,+25:56:26.7,Rebull+2020
EPIC 246859790,04:44:01.64,+16:21:32.4,Cody+22 Rebull+2020
EPIC 246929818,04:46:58.97,+17:02:37.8,Cody+22 Rebull+2020
EPIC 246942563,04:54:23.68,+17:09:53.4,Cody+22 Rebull+2020
EPIC 247885481,05:02:39.85,+24:59:33.8,Cody+22 Rebull+2020
EPIC 467773418,11:17:51.78,-64:02:05.8,Capistrant+2022 Rebull+2020
EPIC 266079454,11:39:30.07,-59:03:44.7,Capistrant+2022 Rebull+2020
EPIC 333386903,12:06:24.48,-50:54:15.7,Rebull+2020
EPIC 333920515,12:09:44.47,-50:50:21.9,Rebull+2022
EPIC 308637803,12:16:42.53,-63:39:02.2,Rebull+2022
EPIC 400953317,12:21:02.30,-53:58:24.2,Rebull+2022
EPIC 989740651,12:23:14.24,-55:40:16.8,Capistrant+2022 Rebull+2022
EPIC 311853656,12:23:27.77,-60:14:14.7,Rebull+2022
EPIC 261682740,12:23:39.38,-56:52:28.7,Rebull+2022
EPIC 260779086,12:36:24.74,-53:11:44.8,Rebull+2022
EPIC 260772975,12:36:42.30,-50:36:13.3,Rebull+2022
EPIC 412308868,12:43:30.38,-57:03:19.0,Capistrant+2022 Rebull+2022
EPIC 334999132,12:57:12.28,-71:19:35.0,Capistrant+2022 Rebull+2022
EPIC 315190296,13:31:29.94,-64:47:53.5,Rebull+2022
EPIC 316295827,13:33:51.83,-65:08:33.6,Rebull+2022
EPIC 316430346,13:34:24.54,-65:17:47.8,Capistrant+2022 Rebull+2022
EPIC 243327089,13:38:02.85,-46:08:01.8,Rebull+2022
EPIC 243343455,13:38:41.65,-43:56:03.0,Rebull+2022
EPIC 179413040,14:08:10.12,-41:23:53.1,Rebull+2022
EPIC 179819049,14:16:55.98,-36:47:49.9,Rebull+2022
EPIC 242525750,14:20:08.08,-47:13:30.1,Rebull+2022
EPIC 126970139,14:25:45.24,-46:54:46.0,Capistrant+2022 Rebull+2022
EPIC 1052398745,14:27:49.07,-39:58:57.2,Rebull+2022
EPIC 127247391,14:28:06.29,-45:23:48.9,Rebull+2022
EPIC 127439694,14:29:58.98,-42:26:23.5,Rebull+2022
EPIC 127529308,14:30:25.62,-45:42:27.5,Rebull+2022
EPIC 140774315,15:13:26.93,-43:31:55.7,Rebull+2022
EPIC 147985877,15:17:24.12,-37:56:37.9,Rebull+2022
EPIC 149809200,15:33:48.53,-40:55:27.0,Capistrant+2022 Rebull+2022
EPIC 172615355,15:37:22.69,-40:18:00.1,Capistrant+2022 Rebull+2022
EPIC 99211574,15:46:44.73,-34:30:36.1,Capistrant+2022 Rebull+2022
EPIC 442652560,15:51:08.11,-33:45:44.1,Capistrant+2022 Rebull+2022
EPIC 442689368,15:51:46.96,-35:56:44.5,Capistrant+2022 Rebull+2022
EPIC 255263381,15:57:24.01,-42:40:05.0,Capistrant+2022 Rebull+2022
EPIC 58752825,15:57:43.62,-41:43:38.3,Capistrant+2022 Rebull+2022
EPIC 1164663109,15:58:20.40,-40:33:06.3,Capistrant+2022 Rebull+2022
EPIC 255400078,16:00:02.36,-42:22:15.0,Rebull+2022
EPIC 255464386,16:00:44.52,-41:55:31.4,Capistrant+2022 Rebull+2022
EPIC 94159924,16:05:44.04,-34:37:59.4,Capistrant+2022 Rebull+2022
EPIC 457995946,16:08:54.69,-39:37:43.6,Capistrant+2022 Rebull+2022
EPIC 462044648,16:10:51.59,-38:53:14.2,Rebull+2022
EPIC 382549695,16:12:43.76,-38:15:03.5,Rebull+2022
EPIC 382639653,16:12:45.39,-37:11:35.9,Capistrant+2022 Rebull+2022
EPIC 464783416,16:17:05.63,-37:45:12.5,Rebull+2022
EPIC 3242384,16:19:09.16,-41:01:21.4,Rebull+2022
EPIC 226241509,16:30:03.72,-42:26:59.1,Capistrant+2022 Rebull+2022
EPIC 203083616,16:14:52.52,-27:18:55.9,Rebull+2018 Rebull+2022
EPIC 203343161,16:24:55.87,-26:27:18.3,Rebull+2018 Rebull+2022
EPIC 203410665,16:25:38.48,-26:13:53.9,Rebull+2018 Rebull+2022
EPIC 203417549,245.39461,−26.207482,Hedges+2018
EPIC 203429083,239.26462,−26.168919,Hedges+2018
EPIC 203465909,246.95435,−26.045494,Hedges+2018
EPIC 203637940,246.61564,−25.456825,Hedges+2018
EPIC 203712588,246.31341,−25.198359,Hedges+2018
EPIC 203749770,16:27:12.72,-25:04:02.1,Rebull+2018 Hedges+2018
EPIC 203750883,16:13:36.50,-25:03:47.5,Rebull+2018 Hedges+2018
EPIC 203770366,16:15:05.24,-24:59:35.4,Rebull+2018 Hedges+2018
EPIC 203770559,246.25882,−24.992335,Hedges+2018
EPIC 203791768,16:27:18.34,-24:54:53.9,Rebull+2018 Hedges+2018
EPIC 203806628,16:27:15.11,-24:51:38.8,Rebull+2018 Hedges+2018
EPIC 203810851,15:57:54.44,-24:50:42.3,Rebull+2018 Hedges+2018
EPIC 203824153,16:28:54.06,-24:47:44.1,Rebull+2018 Hedges+2018
EPIC 203831587,246.29556,−24.767736,Hedges+2018
EPIC 203843911,16:26:23.69,-24:43:13.8,Rebull+2018 Hedges+2018
EPIC 203850058,16:27:06.59,-24:41:48.8,Rebull+2018 Hedges+2018
EPIC 203862309,16:27:42.70,-24:38:50.6,Rebull+2018 Hedges+2018
EPIC 203870022,246.90968,−24.616274,Hedges+2018
EPIC 203881640,246.78794,−24.568928,Hedges+2018
EPIC 203887087,16:28:13.79,-24:32:49.4,Rebull+2018 Hedges+2018
EPIC 203891877,247.05712,−24.527538,Hedges+2018
EPIC 203892903,245.68921,−24.52336,Hedges+2018
EPIC 203895983,241.0789,−24.510927,Hedges+2018
EPIC 203915424,246.86076,−24.431774,Hedges+2018
EPIC 203930599,246.9178,−24.367814,Hedges+2018
EPIC 203936815,16:26:42.85,-24:20:29.9,Rebull+2018 Hedges+2018
EPIC 203937317,16:26:17.08,-24:20:22.0,Rebull+2018 Hedges+2018
EPIC 203950167,16:23:09.22,-24:17:05.0,Rebull+2018 Hedges+2018
EPIC 203962599,16:26:56.77,-24:13:51.5,Rebull+2018 Hedges+2018
EPIC 203969672,16:27:09.07,-24:12:00.7,Rebull+2018 Hedges+2018
EPIC 203971352,247.05298,−24.193214,Hedges+2018
EPIC 203995761,16:28:16.73,-24:05:14.2,Rebull+2018 Hedges+2018
EPIC 204078986,242.03105,−23.751549,Hedges+2018
EPIC 204107757,15:56:01.02,-23:38:08.4,Capistrant+2022 Hedges+2018
EPIC 204137184,16:02:05.17,-23:31:07.2,Rebull+2018 Hedges+2018
EPIC 204142243,245.60399,−23.49863,Hedges+2018
EPIC 204176565,16:22:18.53,-23:21:48.2,Rebull+2018 Hedges+2018
EPIC 204187094,242.82956,−23.322251,Hedges+2018
EPIC 204195987,245.68725,−23.287067,Hedges+2018
EPIC 204206295,16:26:47.43,-23:14:50.8,Rebull+2018 Hedges+2018
EPIC 204211116,16:21:41.98,-23:13:43.5,Rebull+2018 Hedges+2018
EPIC 204256494,246.15225,−23.050051,Hedges+2018
EPIC 204274536,16:23:32.83,-22:58:47.1,Rebull+2018 Hedges+2018
EPIC 204274743,15:57:29.84,-22:58:44.0,Rebull+2018 Hedges+2018
EPIC 204277211,240.42029,−22.969607,Hedges+2018
EPIC 204278916,16:02:07.56,-22:57:47.0,Rebull+2018 Hedges+2018
EPIC 204290918,16:21:18.47,-22:54:58.1,Rebull+2018 Hedges+2018
EPIC 204329690,16:22:01.93,-22:45:41.2,Rebull+2018 Hedges+2018
EPIC 204344180,16:14:32.87,-22:42:13.3,Rebull+2018 Hedges+2018
EPIC 204388640,240.51791,−22.529692,Hedges+2018
EPIC 204408707,16:20:22.91,-22:27:04.3,Rebull+2018 Hedges+2018
EPIC 204449274,245.59001,−22.291862,Hedges+2018
EPIC 204467584,16:11:17.04,-22:13:08.9,Rebull+2018 Hedges+2018
EPIC 204469637,16:20:06.14,-22:12:38.8,Rebull+2018 Hedges+2018
EPIC 204472612,16:08:34.54,-22:11:56.1,Rebull+2018 Hedges+2018
EPIC 204487447,16:10:30.68,-22:08:23.2,Rebull+2018 Hedges+2018
EPIC 204489514,16:03:01.60,-22:07:52.7,Rebull+2018 Hedges+2018
EPIC 204496657,15:57:06.40,-22:06:06.2,Rebull+2018 Hedges+2018
EPIC 204512343,15:57:21.08,-22:02:13.1,Rebull+2018 Hedges+2018
EPIC 204514548,239.16676,−22.027779,Hedges+2018
EPIC 204530046,16:10:50.10,-21:57:48.5,Rebull+2018 Hedges+2018
EPIC 204565982,246.78925,−21.812695,Hedges+2018
EPIC 204615647,16:13:21.90,-21:36:13.9,Rebull+2018 Hedges+2018
EPIC 204637622,241.08741,−21.511577,Hedges+2018
EPIC 204638512,16:04:21.65,-21:30:28.5,Rebull+2018 Hedges+2018
EPIC 204651122,243.09541,−21.454407,Hedges+2018
EPIC 204757338,16:07:27.46,-20:59:44.4,Rebull+2018 Hedges+2018
EPIC 204807722,15:57:01.45,-20:46:18.6,Rebull+2018 Hedges+2018
EPIC 204811478,15:55:56.00,-20:45:18.7,Capistrant+2022 Hedges+2018
EPIC 204864076,16:03:57.67,-20:31:05.6,Rebull+2018 Hedges+2018
EPIC 204871202,242.25299,−20.485743,Hedges+2018
EPIC 204871862,16:07:01.69,-20:28:58.2,Rebull+2018 Hedges+2018
EPIC 204932990,16:11:50.91,-20:12:10.1,Rebull+2018 Hedges+2018
EPIC 204939243,16:15:32.18,-20:10:23.9,Rebull+2018 Hedges+2018
EPIC 204982702,16:09:52.06,-19:58:06.8,Rebull+2018 Hedges+2018
EPIC 205068630,16:11:10.94,-19:33:32.4,Rebull+2018 Hedges+2018
EPIC 205080616,16:08:23.24,-19:30:00.9,Rebull+2018 Hedges+2018
EPIC 205086621,242.93893,−19.470343,Hedges+2018
EPIC 205092303,16:09:20.54,-19:26:32.1,Rebull+2018 Hedges+2018
EPIC 205110000,243.93404,−19.354803,Hedges+2018
EPIC 205115701,242.52257,−19.32674,Hedges+2018
EPIC 205151387,16:09:00.76,-19:08:52.6,Rebull+2018 Hedges+2018
EPIC 205158239,243.5846,−19.113386,Hedges+2018
EPIC 205160565,243.58712,−19.101454,Hedges+2018
EPIC 205164999,243.25979,−19.079185,Hedges+2018
EPIC 205218826,16:09:36.53,-18:48:01.1,Rebull+2018 Hedges+2018
EPIC 205238942,16:06:47.93,-18:41:43.8,Rebull+2018 Hedges+2018
EPIC 205241182,16:10:46.36,-18:41:00.2,Rebull+2018 Hedges+2018
EPIC 205249328,242.88061,−18.640545,Hedges+2018
EPIC 205519771,16:07:14.01,-17:02:42.7,Rebull+2018 Hedges+2018
EPIC 205684783,248.53822,−15.804683,Hedges+2018
EPIC 210282534,246.74378,−24.76024,Hedges+2018
