# Name,RA,DEC,Source
TIC 81198421,08:11:09.7669,-46:50:38.714,Tajiri+2019
TIC 276070646,13:53:45.6927,-45:33:03.290,Tajiri+2019
TIC 276664304,05:37:07.7410,-05:52:54.677,Tajiri+2019
TIC 361957000,13:04:24.1091,-76:50:01.203,Tajiri+2019
TIC 427395967,05:35:48.5278,-05:56:23.187,Tajiri+2019
TIC 427399794,05:35:54.2306,-01:23:05.656,Tajiri+2019
TIC 434229695,04:14:18.7315,+11:58:12.750,Tajiri+2019
TIC 442549866,15:47:45.8802,-35:13:19.533,Tajiri+2019
TIC 452694529,09:43:20.8142,-73:15:44.196,Tajiri+2019
2MASS J18041183-2419559,18:04:11.8372,-24:19:55.861,Venuti+2021
2MASS J18041214-2422198,18:04:12.1482,-24:22:19.776,Venuti+2021
2MASS J18041580-2421276,18:04:15.8073,-24:21:27.579,Venuti+2021
2MASS J18042108-2420473,18:04:21.0823,-24:20:47.346,Venuti+2021
2MASS J18042839-2421117,18:04:28.3985,-24:21:11.743,Venuti+2021
2MASS J18044501-2413112,18:04:45.0141,-24:13:11.269,Venuti+2021
2MASS J18041739-2419099,18:04:17.3901,-24:19:09.926,Venuti+2021
2MASS J18042923-2423431,18:04:29.2407,-24:23:43.020,Venuti+2021
2MASS J18042648-2429002,18:04:26.4746,-24:29:00.145,Venuti+2021
2MASS J18041664-2421360,18:04:16.6462,-24:21:36.044,Venuti+2021
2MASS J18035826-2416491,18:03:58.2584,-24:16:49.179,Venuti+2021
2MASS J18050044-2413267,18:05:00.4376,-24:13:26.811,Venuti+2021
2MASS J18035164-2428265,18:03:51.6346,-24:28:26.576,Venuti+2021
2MASS J18043527-2417426,18:04:35.2784,-24:17:42.675,Venuti+2021
2MASS J00032713+5533033,00:03:27.14,+55:33:03.33,Venuti+2021
2MASS J16475140-5146038,16:47:51.41,-51:46:03.86,Venuti+2021
2MASS J00060140+6052014,00:06:01.40,+60:52:01.45,Venuti+2021
2MASS J03493638+3858556,03:49:36.39,+38:58:55.64,Capistrant+2022
2MASS J05540300+0140217,05:54:03.00,+01:40:21.80,Capistrant+2022
2MASS J12442412-5855216,12:44:24.12,-58:55:21.65,Capistrant+2022
2MASS J05065548+1059531,05:06:55.49,+10:59:53.11,Tajiri+2019 Capistrant+2022
2MASS J05291144-0608054,05:29:11.44,-06:08:05.44,Tajiri+2019 Capistrant+2022
